deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity,deepgram_confidence,genesys_confidence
A politician's word. So,politicians were so,1774055439.72392,1774055441.26688,1.543,1543.0,EXTERNAL,0.85,0.893,0.595
young fellas like yourself can wear a suit and a tie.,young fellows like yourself can wear a suit and a tie,1774055443.843924,1774055445.371914,1.528,1528.0,EXTERNAL,0.971,0.983,0.877
What do you really wanna know?,what do you really want to know,1774055449.78392,1774055450.9295208,1.1456,1145.6,EXTERNAL,0.9,0.996,0.83
Am I sorry for what I did?,am i sorry for what i did,1774055452.88392,1774055454.2353458,1.3514,1351.4,EXTERNAL,1.0,1.0,0.851
But not a day goes by. Don't feel regret.,but not a day goes by i don't feel regret,1774055459.00392,1774055460.352122,1.3482,1348.2,EXTERNAL,0.974,0.981,0.838
"Not because I'm in here, because you think I should.",not because i'm in here because you think i should,1774055463.91392,1774055465.305161,1.3912,1391.2,EXTERNAL,1.0,0.997,0.906
Stupid kid who committed that terrible crime.,stupid kids have committed to that terrible crime,1774055477.63392,1774055478.99378,1.3599,1359.9,EXTERNAL,0.903,0.85,0.667
Okay.,okay,1774055492.90392,1774055494.23169,1.3278,1327.8,EXTERNAL,1.0,0.961,0.785
That's kids long gone.,as kids long gone,1774055497.33392,1774055498.885932,1.552,1552.0,EXTERNAL,0.919,0.79,0.691
This old man is all that's left.,this old man is all this left,1774055501.04392,1774055502.442841,1.3989,1398.9,EXTERNAL,0.949,0.984,0.611
I don't get this yet.,i don't get a,1774055520.90392,1774055522.248595,1.3447,1344.7,EXTERNAL,0.71,0.969,0.712
No code message to her before she took it.,no code matter to her before she okay,1774055139.3556159,1774055141.262143,1.9065,1906.5,EXTERNAL,0.795,0.954,0.758
Request is for the state with the exception of the sheriff's American and presented themselves to the attendant to this court.,the witnesses for the state the exception of the sheriff encounter and presented themselves to this court,1774055158.5756178,1774055160.197911,1.6223,1622.3,EXTERNAL,0.777,0.933,0.78
And the cynical,the cynical,1774055162.0656178,1774055163.597008,1.5314,1531.4,EXTERNAL,0.846,0.972,0.603
go along with them on the assumption.,go along with them on the assumption,1774055175.195618,1774055176.564161,1.3685,1368.5,EXTERNAL,1.0,0.988,0.656
"only grizzled basically immoral beings,",only basically immoral beings,1774055185.715613,1774055187.575846,1.8602,1860.2,EXTERNAL,0.866,0.848,0.861
All Negro men are not to be trusted around our women.,oh nibra bend that to be trusted around our winner,1774055190.3856177,1774055191.935817,1.5502,1550.2,EXTERNAL,0.725,0.986,0.699
"Not an assumption of one associates with mines, but they are.",an assumption of one of associates with modems of the cal,1774055197.655618,1774055200.341459,2.6858,2685.8,EXTERNAL,0.81,0.558,0.688
"And which is in itself, gentlemen,",and which is in itself gentlemen,1774055201.4856179,1774055203.224501,1.7389,1738.9,EXTERNAL,1.0,0.852,0.849
need to point out to you.,which i do not need to point out to you,1774055209.445618,1774055210.940053,1.4944,1494.4,EXTERNAL,0.762,0.994,0.925
I'm so,i'm so,1774055217.0056179,1774055218.5066319,1.501,1501.0,EXTERNAL,1.0,0.988,0.908
Who has had the unmitigated terminology,who has had the unheated ten years,1774055225.5956178,1774055227.5575879,1.962,1962.0,EXTERNAL,0.712,0.959,0.707
Has had to put his word against two white peoples?,has had to put his word against two what,1774055235.195618,1774055236.526398,1.3308,1330.8,EXTERNAL,0.876,0.989,0.778
The defendant is not guilty.,the disremant is not guilty,1774055243.945618,1774055245.560961,1.6153,1615.3,EXTERNAL,0.852,0.928,0.672
But somebody in this courtroom,somebody in this court room is,1774055247.195618,1774055249.597388,2.4018,2401.8,EXTERNAL,0.867,0.999,0.758
"In this country,",in this country,1774055254.5156178,1774055256.036706,1.5211,1521.1,EXTERNAL,1.0,0.971,0.917
To believe firmly in the integrity of our courts and our jury system.,to believe firmly in the integrity of our court and our jury system,1774055276.0756078,1774055277.5483892,1.4728,1472.8,EXTERNAL,0.993,0.989,0.877
"That's no idea to me that is a living, working reality.",that's no idea to me that is a living working real,1774055280.5756178,1774055282.13603,1.5604,1560.4,EXTERNAL,0.97,0.96,0.868
Third price is your fire.,third price is your price,1774054825.93835,1774054827.503433,1.5651,1565.1,EXTERNAL,0.898,0.976,0.745
"You hear me, you fucking faggot?",hear me you fucking bad,1774054889.87835,1774054891.7068732,1.8285,1828.5,EXTERNAL,0.792,0.998,0.676
That watch costs more than your car.,that what's cost more than your car,1774054974.92835,1774054976.601749,1.6734,1673.4,EXTERNAL,0.928,0.995,0.841
Good father. Fuck you. Go home and play with your kids.,his father stopped you go home and play with your kid,1774054994.45835,1774054995.854879,1.3965,1396.5,EXTERNAL,0.819,0.994,0.783
Wanna work here? Closed.,you wanna work here close,1774054997.5783498,1774054999.27345,1.6951,1695.1,EXTERNAL,0.894,0.973,0.921
Do you think this is abuse?,you think this is abuse,1774055000.22835,1774055001.829901,1.6016,1601.6,EXTERNAL,0.939,0.999,0.903
It takes grass balls,takes grass balls,1774055040.36833,1774055042.1968262,1.8285,1828.5,EXTERNAL,0.919,0.998,0.711
"Don't do likewise, gents.",don't do like chan,1774055048.2783499,1774055049.999725,1.7214,1721.4,EXTERNAL,0.718,0.926,0.699
Money's out there. You pick it up. It's yours. You don't think it does.,money's out there you pick it up as sure if you don't,1774055051.69835,1774055053.192364,1.494,1494.0,EXTERNAL,0.783,0.952,0.85
"This fellow will grow tired. Oh, he blows his horn.",limpstein of yours my left footage fellow will grow tired oh he blows his horn,1774054582.118948,1774054584.323355,2.2044,2204.4,EXTERNAL,0.746,0.988,0.866
How do you drink with such a nose? You must have had a cup made especially.,practical how do you drink with such a nose you must have had a cup made especially descriptive there's a rut a grag a cake,1774054622.128948,1774054627.9679842,5.839,5839.0,EXTERNAL,0.749,0.993,0.815
"Eloquent. When it blows, the typhoon howls and the clouds darken.",eloquent when it blows the typhoon howls and the clouds dark,1774054654.868948,1774054656.352494,1.4835,1483.5,EXTERNAL,0.984,0.994,0.898
When do they unveil the monument?,simple when do they unveil the monument,1774054665.098938,1774054666.831127,1.7322,1732.2,EXTERNAL,0.901,0.999,0.955
"Military, beware a secret weapon.",military beware a secret weapon,1774054669.2089581,1774054671.012726,1.8038,1803.8,EXTERNAL,1.0,0.936,0.869
Enterprising on a sign for some consumer.,enterprising on a sign for some consumer,1774054673.558948,1774054675.1338398,1.5749,1574.9,EXTERNAL,1.0,0.845,0.766
"Respectful. Sir, I recognize in you a man of parts, a man of",respectful it's i recognize a new amount of parts a man of,1774054678.648948,1774054680.4398851,1.7909,1790.9,EXTERNAL,0.842,0.966,0.812
was this for those that launched a thousand ships.,or literary was this fellow that launched a thousand ships,1774054685.118978,1774054686.47874,1.3598,1359.8,EXTERNAL,0.785,0.979,0.868
"Please, my dear sir, are things you might have said had you sung tinge of letters out of whips.",these my dear sod are things you might have said have you some tin jump letters out of width to colour your discode,1774054690.2189481,1774054693.0010922,2.7821,2782.1,EXTERNAL,0.754,0.984,0.798
And a letter you need but three to write you down. A s,and a level you need but three to write you down,1774054698.778948,1774054698.3792572,-0.3997,-399.7,EXTERNAL,0.911,0.956,0.819
"By the glittering assemblage, Kingston.",either glittering assembly kingston,1774053676.113656,1774053677.436506,1.3228,1322.8,EXTERNAL,0.861,0.866,0.722
"Royalty, nobility, the gentry,",nobility the gentry and,1774053681.003656,1774053683.254208,2.2506,2250.6,EXTERNAL,0.76,0.968,0.694
"Oh, dear. What an awkward situation.",oh dear what an awkward situation,1774053699.123656,1774053700.814603,1.6909,1690.9,EXTERNAL,1.0,0.961,0.726
"And to show I bear no ill will, I too",and to show i there no ill will,1774053716.673653,1774053716.660667,-0.013,-13.0,EXTERNAL,0.836,0.991,0.67
