deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity,deepgram_confidence,genesys_confidence
"only grizzled basically immoral beings,",only basically immoral beings,1774055185.715613,1774055187.372596,1.657,1657.0,EXTERNAL,0.866,0.848,0.861
All Negro men are not to be trusted around our women.,oh nibra bend that to be trusted around our winner,1774055190.3856177,1774055191.691427,1.3058,1305.8,EXTERNAL,0.725,0.986,0.699
"Not an assumption of one associates with mines, but they are.",an assumption of one of associates with modems of the cal,1774055197.655618,1774055200.108107,2.4525,2452.5,EXTERNAL,0.81,0.558,0.688
"And which is in itself, gentlemen,",and which is in itself gentlemen,1774055201.4856179,1774055203.0723999,1.5868,1586.8,EXTERNAL,1.0,0.852,0.849
need to point out to you.,which i do not need to point out to you,1774055209.445618,1774055210.661085,1.2155,1215.5,EXTERNAL,0.762,0.994,0.925
I'm so,i'm so,1774055217.0056179,1774055218.305963,1.3003,1300.3,EXTERNAL,1.0,0.988,0.908
Who has had the unmitigated terminology,who has had the unheated ten years,1774055225.5956178,1774055227.3414688,1.7459,1745.9,EXTERNAL,0.712,0.959,0.707
Has had to put his word against two white peoples?,has had to put his word against two what,1774055235.195618,1774055236.2815201,1.0859,1085.9,EXTERNAL,0.876,0.989,0.778
The defendant is not guilty.,the disremant is not guilty,1774055243.945618,1774055245.285367,1.3397,1339.7,EXTERNAL,0.852,0.928,0.672
But somebody in this courtroom,somebody in this court room is,1774055247.195618,1774055249.439163,2.2435,2243.5,EXTERNAL,0.867,0.999,0.758
"In this country,",in this country,1774055254.5156178,1774055255.80546,1.2898,1289.8,EXTERNAL,1.0,0.971,0.917
To believe firmly in the integrity of our courts and our jury system.,to believe firmly in the integrity of our court and our jury system,1774055276.0756078,1774055277.393855,1.3182,1318.2,EXTERNAL,0.993,0.989,0.877
"That's no idea to me that is a living, working reality.",that's no idea to me that is a living working real,1774055280.5756178,1774055281.8841898,1.3086,1308.6,EXTERNAL,0.97,0.96,0.868
Third price is your fire.,third price is your price,1774054825.93835,1774054827.2885618,1.3502,1350.2,EXTERNAL,0.898,0.976,0.745
"You hear me, you fucking faggot?",hear me you fucking bad,1774054889.87835,1774054891.5072808,1.6289,1628.9,EXTERNAL,0.792,0.998,0.676
That watch costs more than your car.,that what's cost more than your car,1774054974.92835,1774054976.31526,1.3869,1386.9,EXTERNAL,0.928,0.995,0.841
Good father. Fuck you. Go home and play with your kids.,his father stopped you go home and play with your kid,1774054994.45835,1774054995.656342,1.198,1198.0,EXTERNAL,0.819,0.994,0.783
Wanna work here? Closed.,you wanna work here close,1774054997.5783498,1774054999.1322792,1.5539,1553.9,EXTERNAL,0.894,0.973,0.921
Do you think this is abuse?,you think this is abuse,1774055000.22835,1774055001.5983949,1.37,1370.0,EXTERNAL,0.939,0.999,0.903
It takes grass balls,takes grass balls,1774055040.36833,1774055042.12229,1.754,1754.0,EXTERNAL,0.919,0.998,0.711
"Don't do likewise, gents.",don't do like chan,1774055048.2783499,1774055049.764493,1.4861,1486.1,EXTERNAL,0.718,0.926,0.699
"This fellow will grow tired. Oh, he blows his horn.",limpstein of yours my left footage fellow will grow tired oh he blows his horn,1774054582.118948,1774054584.189413,2.0705,2070.5,EXTERNAL,0.746,0.988,0.866
How do you drink with such a nose? You must have had a cup made especially.,practical how do you drink with such a nose you must have had a cup made especially descriptive there's a rut a grag a cake,1774054622.128948,1774054627.808362,5.6794,5679.4,EXTERNAL,0.749,0.993,0.815
"Eloquent. When it blows, the typhoon howls and the clouds darken.",eloquent when it blows the typhoon howls and the clouds dark,1774054654.868948,1774054656.1467142,1.2778,1277.8,EXTERNAL,0.984,0.994,0.898
When do they unveil the monument?,simple when do they unveil the monument,1774054665.098938,1774054666.60517,1.5062,1506.2,EXTERNAL,0.901,0.999,0.955
"Military, beware a secret weapon.",military beware a secret weapon,1774054669.2089581,1774054670.815077,1.6061,1606.1,EXTERNAL,1.0,0.936,0.869
Enterprising on a sign for some consumer.,enterprising on a sign for some consumer,1774054673.558948,1774054674.965608,1.4067,1406.7,EXTERNAL,1.0,0.845,0.766
"Respectful. Sir, I recognize in you a man of parts, a man of",respectful it's i recognize a new amount of parts a man of,1774054678.648948,1774054680.230591,1.5816,1581.6,EXTERNAL,0.842,0.966,0.812
was this for those that launched a thousand ships.,or literary was this fellow that launched a thousand ships,1774054685.118978,1774054686.322779,1.2038,1203.8,EXTERNAL,0.785,0.979,0.868
"Please, my dear sir, are things you might have said had you sung tinge of letters out of whips.",these my dear sod are things you might have said have you some tin jump letters out of width to colour your discode,1774054690.2189481,1774054692.8339798,2.615,2615.0,EXTERNAL,0.754,0.984,0.798
And a letter you need but three to write you down. A s,and a level you need but three to write you down,1774054698.778948,1774054698.200694,-0.5783,-578.3,EXTERNAL,0.911,0.956,0.819
"By the glittering assemblage, Kingston.",either glittering assembly kingston,1774053676.113656,1774053677.204889,1.0912,1091.2,EXTERNAL,0.861,0.866,0.722
"Royalty, nobility, the gentry,",nobility the gentry and,1774053681.003656,1774053683.100919,2.0973,2097.3,EXTERNAL,0.76,0.968,0.694
"Oh, dear. What an awkward situation.",oh dear what an awkward situation,1774053699.123656,1774053700.508845,1.3852,1385.2,EXTERNAL,1.0,0.961,0.726
"And to show I bear no ill will, I too",and to show i there no ill will,1774053716.673653,1774053716.534799,-0.1389,-138.9,EXTERNAL,0.836,0.991,0.67
