movie	channel	confidence	session_wer	error_type	reference_word	hypothesis_word
Iron Man	Notifications	0.8012	0.4268	DEL	be	
Iron Man	Notifications	0.8012	0.4268	DEL	outlandish	
Iron Man	Notifications	0.8012	0.4268	DEL	and	
Iron Man	Notifications	0.8012	0.4268	DEL	uh	
Iron Man	Notifications	0.8012	0.4268	DEL	i	
Iron Man	Notifications	0.8012	0.4268	DEL	the	
Iron Man	Notifications	0.8012	0.4268	DEL	uh	
Iron Man	Notifications	0.8012	0.4268	SUB	list	listed
Iron Man	Notifications	0.8012	0.4268	DEL	of	
Iron Man	Notifications	0.8012	0.4268	SUB	truth	true
Iron Man	Notifications	0.8012	0.4268	SUB	is	dish
Iron Man	Notifications	0.8012	0.4268	DEL	i	
Iron Man	Notifications	0.8012	0.4268	DEL	am	
Iron Man	Notifications	0.8012	0.4268	DEL	iron	
Iron Man	Notifications	0.8012	0.4268	DEL	man	
Iron Man	EventBridge	0.7869	0.4204	SUB	mr	mister
Iron Man	EventBridge	0.7869	0.4204	SUB	uh	its
Iron Man	EventBridge	0.7869	0.4204	SUB	was	trying
Iron Man	EventBridge	0.7869	0.4204	SUB	in	to
Iron Man	EventBridge	0.7869	0.4204	SUB	front	do
Iron Man	EventBridge	0.7869	0.4204	SUB	of	it
Iron Man	EventBridge	0.7869	0.4204	DEL	you	
Iron Man	EventBridge	0.7869	0.4204	DEL	i	
Iron Man	EventBridge	0.7869	0.4204	SUB	ill	out
Iron Man	EventBridge	0.7869	0.4204	DEL	stick	
Iron Man	EventBridge	0.7869	0.4204	SUB	the	your
Iron Man	EventBridge	0.7869	0.4204	SUB	cards	card
Iron Man	EventBridge	0.7869	0.4204	INS		there
Iron Man	EventBridge	0.7869	0.4204	SUB	theres	has
Iron Man	EventBridge	0.7869	0.4204	DEL	on	
Iron Man	EventBridge	0.7869	0.4204	DEL	the	
Iron Man	EventBridge	0.7869	0.4204	DEL	freeway	
Iron Man	EventBridge	0.7869	0.4204	DEL	and	
Iron Man	EventBridge	0.7869	0.4204	DEL	the	
Iron Man	EventBridge	0.7869	0.4204	DEL	rooftop	
Iron Man	EventBridge	0.7869	0.4204	DEL	im	
Iron Man	EventBridge	0.7869	0.4204	DEL	sorry	
Iron Man	EventBridge	0.7869	0.4204	DEL	mr	
Iron Man	EventBridge	0.7869	0.4204	DEL	shark	
Iron Man	EventBridge	0.7869	0.4204	DEL	but	
Iron Man	EventBridge	0.7869	0.4204	DEL	do	
Iron Man	EventBridge	0.7869	0.4204	DEL	you	
Iron Man	EventBridge	0.7869	0.4204	DEL	honestly	
Iron Man	EventBridge	0.7869	0.4204	DEL	expect	
Iron Man	EventBridge	0.7869	0.4204	DEL	us	
Iron Man	EventBridge	0.7869	0.4204	SUB	bodyguard	body
Iron Man	EventBridge	0.7869	0.4204	SUB	in	guard
Iron Man	EventBridge	0.7869	0.4204	DEL	a	
Iron Man	EventBridge	0.7869	0.4204	DEL	suit	
Iron Man	EventBridge	0.7869	0.4204	DEL	that	
Iron Man	EventBridge	0.7869	0.4204	SUB	i	that
Iron Man	EventBridge	0.7869	0.4204	SUB	know	my
Iron Man	EventBridge	0.7869	0.4204	SUB	that	modem
Iron Man	EventBridge	0.7869	0.4204	SUB	its	is
Iron Man	EventBridge	0.7869	0.4204	DEL	to	
Iron Man	EventBridge	0.7869	0.4204	DEL	im	
Iron Man	EventBridge	0.7869	0.4204	DEL	a	
Iron Man	EventBridge	0.7869	0.4204	DEL	superhero	
Iron Man	EventBridge	0.7869	0.4204	SUB	never	am
Iron Man	EventBridge	0.7869	0.4204	DEL	said	
Iron Man	EventBridge	0.7869	0.4204	DEL	youre	
Iron Man	EventBridge	0.7869	0.4204	SUB	didnt	huh
Iron Man	EventBridge	0.7869	0.4204	DEL	well	
Iron Man	EventBridge	0.7869	0.4204	DEL	good	
Iron Man	EventBridge	0.7869	0.4204	DEL	because	
Iron Man	EventBridge	0.7869	0.4204	DEL	that	
Iron Man	EventBridge	0.7869	0.4204	DEL	would	
Iron Man	EventBridge	0.7869	0.4204	DEL	be	
Iron Man	EventBridge	0.7869	0.4204	DEL	outlandish	
Iron Man	EventBridge	0.7869	0.4204	DEL	and	
Iron Man	EventBridge	0.7869	0.4204	DEL	uh	
Iron Man	EventBridge	0.7869	0.4204	DEL	i	
Iron Man	EventBridge	0.7869	0.4204	DEL	the	
Iron Man	EventBridge	0.7869	0.4204	DEL	uh	
Iron Man	EventBridge	0.7869	0.4204	SUB	list	listed
Iron Man	EventBridge	0.7869	0.4204	DEL	of	
Iron Man	EventBridge	0.7869	0.4204	SUB	truth	true
Iron Man	EventBridge	0.7869	0.4204	SUB	is	dish
Iron Man	EventBridge	0.7869	0.4204	INS		a
Iron Man	EventBridge	0.7869	0.4204	SUB	iron	hard
Iron Man	EventBridge	0.7869	0.4204	SUB	man	mat
Shawshank	Deepgram	0.8737	0.2679	SUB	down	that
Shawshank	Deepgram	0.8737	0.2679	SUB	ellis	is
Shawshank	Deepgram	0.8737	0.2679	SUB	boyd	the
Shawshank	Deepgram	0.8737	0.2679	SUB	redding	board
Shawshank	Deepgram	0.8737	0.2679	SUB	your	ready
Shawshank	Deepgram	0.8737	0.2679	SUB	files	if
Shawshank	Deepgram	0.8737	0.2679	SUB	say	ill
Shawshank	Deepgram	0.8737	0.2679	SUB	youve	save
Shawshank	Deepgram	0.8737	0.2679	SUB	rehabilitated	rehabilitating
Shawshank	Deepgram	0.8737	0.2679	DEL	you	
Shawshank	Deepgram	0.8737	0.2679	SUB	it	that
Shawshank	Deepgram	0.8737	0.2679	SUB	you	youre
Shawshank	Deepgram	0.8737	0.2679	SUB	think	doing
Shawshank	Deepgram	0.8737	0.2679	SUB	it	sorry
Shawshank	Deepgram	0.8737	0.2679	DEL	means	
Shawshank	Deepgram	0.8737	0.2679	DEL	sonny	
Shawshank	Deepgram	0.8737	0.2679	DEL	that	
Shawshank	Deepgram	0.8737	0.2679	DEL	and	
Shawshank	Deepgram	0.8737	0.2679	SUB	want	wanna
Shawshank	Deepgram	0.8737	0.2679	DEL	to	
Shawshank	Deepgram	0.8737	0.2679	SUB	well	alright
Shawshank	Deepgram	0.8737	0.2679	SUB	are	but
Shawshank	Deepgram	0.8737	0.2679	DEL	you	
Shawshank	Deepgram	0.8737	0.2679	DEL	theres	
Shawshank	Deepgram	0.8737	0.2679	DEL	i	
Shawshank	Deepgram	0.8737	0.2679	DEL	on	
Shawshank	Deepgram	0.8737	0.2679	SUB	then	yeah
Shawshank	Deepgram	0.8737	0.2679	DEL	a	
Shawshank	Deepgram	0.8737	0.2679	DEL	young	
Shawshank	Deepgram	0.8737	0.2679	SUB	want	wanna
Shawshank	Deepgram	0.8737	0.2679	DEL	to	
Shawshank	Deepgram	0.8737	0.2679	SUB	want	wanna
Shawshank	Deepgram	0.8737	0.2679	DEL	to	
Shawshank	Deepgram	0.8737	0.2679	SUB	to	and
Shawshank	Deepgram	0.8737	0.2679	SUB	sense	sass
Shawshank	Deepgram	0.8737	0.2679	SUB	tell	i
Shawshank	Deepgram	0.8737	0.2679	SUB	him	dont
Shawshank	Deepgram	0.8737	0.2679	SUB	the	know
Shawshank	Deepgram	0.8737	0.2679	SUB	way	where
Shawshank	Deepgram	0.8737	0.2679	SUB	but	okay
Shawshank	Deepgram	0.8737	0.2679	SUB	i	thats
Shawshank	Deepgram	0.8737	0.2679	DEL	cant	
Shawshank	Deepgram	0.8737	0.2679	DEL	that	
Shawshank	Deepgram	0.8737	0.2679	DEL	and	
Shawshank	Deepgram	0.8737	0.2679	SUB	got	gotta
Shawshank	Deepgram	0.8737	0.2679	DEL	to	
Shawshank	Deepgram	0.8737	0.2679	INS		forms
Shawshank	Deepgram	0.8737	0.2679	SUB	form	on
Shawshank	Deepgram	0.8737	0.2679	SUB	sonny	me
Shawshank	Deepgram	0.8737	0.2679	SUB	because	thats
Shawshank	Deepgram	0.8737	0.2679	SUB	i	the
Shawshank	Deepgram	0.8737	0.2679	SUB	tell	telling
Shawshank	Deepgram	0.8737	0.2679	DEL	you	
Shawshank	Deepgram	0.8737	0.2679	SUB	give	get
Shawshank	Deepgram	0.8737	0.2679	SUB	a	this
Shawshank	Deepgram	0.8737	0.2679	SUB	shit	yet
Shawshank	Notifications	0.7136	0.4155	SUB	boyd	yeah
Shawshank	Notifications	0.7136	0.4155	SUB	redding	alistair
Shawshank	Notifications	0.7136	0.4155	SUB	your	if
Shawshank	Notifications	0.7136	0.4155	SUB	files	ill
Shawshank	Notifications	0.7136	0.4155	SUB	life	lifesaf
Shawshank	Notifications	0.7136	0.4155	DEL	sentence	
Shawshank	Notifications	0.7136	0.4155	DEL	you	
Shawshank	Notifications	0.7136	0.4155	INS		you
Shawshank	Notifications	0.7136	0.4155	SUB	rehabilitated	dont
Shawshank	Notifications	0.7136	0.4155	SUB	now	no
Shawshank	Notifications	0.7136	0.4155	SUB	that	what
Shawshank	Notifications	0.7136	0.4155	SUB	means	i
Shawshank	Notifications	0.7136	0.4155	SUB	well	mean
Shawshank	Notifications	0.7136	0.4155	DEL	it	
Shawshank	Notifications	0.7136	0.4155	DEL	means	
Shawshank	Notifications	0.7136	0.4155	SUB	society	so
Shawshank	Notifications	0.7136	0.4155	DEL	i	
Shawshank	Notifications	0.7136	0.4155	DEL	know	
Shawshank	Notifications	0.7136	0.4155	DEL	what	
Shawshank	Notifications	0.7136	0.4155	DEL	you	
Shawshank	Notifications	0.7136	0.4155	DEL	think	
Shawshank	Notifications	0.7136	0.4155	DEL	it	
Shawshank	Notifications	0.7136	0.4155	DEL	means	
Shawshank	Notifications	0.7136	0.4155	DEL	sonny	
Shawshank	Notifications	0.7136	0.4155	SUB	word	wood
Shawshank	Notifications	0.7136	0.4155	DEL	a	
Shawshank	Notifications	0.7136	0.4155	SUB	word	were
Shawshank	Notifications	0.7136	0.4155	DEL	that	
Shawshank	Notifications	0.7136	0.4155	SUB	fellas	fellows
Shawshank	Notifications	0.7136	0.4155	SUB	and	abbott
Shawshank	Notifications	0.7136	0.4155	SUB	have	ja
Shawshank	Notifications	0.7136	0.4155	DEL	a	
Shawshank	Notifications	0.7136	0.4155	DEL	job	
Shawshank	Notifications	0.7136	0.4155	SUB	well	hi
Shawshank	Notifications	0.7136	0.4155	SUB	are	but
Shawshank	Notifications	0.7136	0.4155	DEL	you	
Shawshank	Notifications	0.7136	0.4155	DEL	theres	
Shawshank	Notifications	0.7136	0.4155	SUB	i	that
Shawshank	Notifications	0.7136	0.4155	SUB	look	looks
Shawshank	Notifications	0.7136	0.4155	SUB	back	like
Shawshank	Notifications	0.7136	0.4155	DEL	on	
Shawshank	Notifications	0.7136	0.4155	SUB	was	want
Shawshank	Notifications	0.7136	0.4155	SUB	then	to
Shawshank	Notifications	0.7136	0.4155	SUB	kid	kids
Shawshank	Notifications	0.7136	0.4155	SUB	who	have
Shawshank	Notifications	0.7136	0.4155	INS		to
Shawshank	Notifications	0.7136	0.4155	SUB	want	wanna
Shawshank	Notifications	0.7136	0.4155	DEL	to	
Shawshank	Notifications	0.7136	0.4155	DEL	talk	
Shawshank	Notifications	0.7136	0.4155	DEL	to	
Shawshank	Notifications	0.7136	0.4155	DEL	him	
Shawshank	Notifications	0.7136	0.4155	DEL	i	
Shawshank	Notifications	0.7136	0.4155	DEL	want	
Shawshank	Notifications	0.7136	0.4155	DEL	to	
Shawshank	Notifications	0.7136	0.4155	SUB	talk	cost
Shawshank	Notifications	0.7136	0.4155	SUB	some	this
Shawshank	Notifications	0.7136	0.4155	SUB	sense	last
Shawshank	Notifications	0.7136	0.4155	SUB	to	doing
Shawshank	Notifications	0.7136	0.4155	SUB	him	it
Shawshank	Notifications	0.7136	0.4155	SUB	tell	turn
Shawshank	Notifications	0.7136	0.4155	DEL	him	
Shawshank	Notifications	0.7136	0.4155	SUB	but	okay
Shawshank	Notifications	0.7136	0.4155	SUB	i	as
Shawshank	Notifications	0.7136	0.4155	DEL	cant	
Shawshank	Notifications	0.7136	0.4155	DEL	that	
Shawshank	Notifications	0.7136	0.4155	DEL	and	
Shawshank	Notifications	0.7136	0.4155	SUB	thats	this
Shawshank	Notifications	0.7136	0.4155	SUB	i	okay
Shawshank	Notifications	0.7136	0.4155	SUB	got	yeah
Shawshank	Notifications	0.7136	0.4155	SUB	to	ive
Shawshank	Notifications	0.7136	0.4155	SUB	live	done
Shawshank	Notifications	0.7136	0.4155	SUB	with	a
Shawshank	Notifications	0.7136	0.4155	SUB	that	paper
Shawshank	Notifications	0.7136	0.4155	DEL	rehabilitated	
Shawshank	Notifications	0.7136	0.4155	DEL	its	
Shawshank	Notifications	0.7136	0.4155	SUB	a	the
Shawshank	Notifications	0.7136	0.4155	SUB	bullshit	bullship
Shawshank	Notifications	0.7136	0.4155	SUB	form	phone
Shawshank	Notifications	0.7136	0.4155	SUB	sonny	sunny
Shawshank	Notifications	0.7136	0.4155	SUB	because	the
Shawshank	Notifications	0.7136	0.4155	SUB	i	tone
Shawshank	Notifications	0.7136	0.4155	SUB	tell	of
Shawshank	Notifications	0.7136	0.4155	DEL	you	
Shawshank	Notifications	0.7136	0.4155	DEL	the	
Shawshank	Notifications	0.7136	0.4155	SUB	give	get
Shawshank	Notifications	0.7136	0.4155	DEL	shit	
Shawshank	EventBridge	0.7136	0.4155	SUB	boyd	yeah
Shawshank	EventBridge	0.7136	0.4155	SUB	redding	alistair
Shawshank	EventBridge	0.7136	0.4155	SUB	your	if
Shawshank	EventBridge	0.7136	0.4155	SUB	files	ill
Shawshank	EventBridge	0.7136	0.4155	SUB	life	lifesaf
Shawshank	EventBridge	0.7136	0.4155	DEL	sentence	
Shawshank	EventBridge	0.7136	0.4155	DEL	you	
Shawshank	EventBridge	0.7136	0.4155	INS		you
Shawshank	EventBridge	0.7136	0.4155	SUB	rehabilitated	dont
Shawshank	EventBridge	0.7136	0.4155	SUB	now	no
Shawshank	EventBridge	0.7136	0.4155	SUB	that	what
Shawshank	EventBridge	0.7136	0.4155	SUB	means	i
Shawshank	EventBridge	0.7136	0.4155	SUB	well	mean
Shawshank	EventBridge	0.7136	0.4155	DEL	it	
Shawshank	EventBridge	0.7136	0.4155	DEL	means	
Shawshank	EventBridge	0.7136	0.4155	SUB	society	so
Shawshank	EventBridge	0.7136	0.4155	DEL	i	
Shawshank	EventBridge	0.7136	0.4155	DEL	know	
Shawshank	EventBridge	0.7136	0.4155	DEL	what	
Shawshank	EventBridge	0.7136	0.4155	DEL	you	
Shawshank	EventBridge	0.7136	0.4155	DEL	think	
Shawshank	EventBridge	0.7136	0.4155	DEL	it	
Shawshank	EventBridge	0.7136	0.4155	DEL	means	
Shawshank	EventBridge	0.7136	0.4155	DEL	sonny	
Shawshank	EventBridge	0.7136	0.4155	SUB	word	wood
Shawshank	EventBridge	0.7136	0.4155	DEL	a	
Shawshank	EventBridge	0.7136	0.4155	SUB	word	were
Shawshank	EventBridge	0.7136	0.4155	DEL	that	
Shawshank	EventBridge	0.7136	0.4155	SUB	fellas	fellows
Shawshank	EventBridge	0.7136	0.4155	SUB	and	abbott
Shawshank	EventBridge	0.7136	0.4155	SUB	have	ja
Shawshank	EventBridge	0.7136	0.4155	DEL	a	
Shawshank	EventBridge	0.7136	0.4155	DEL	job	
Shawshank	EventBridge	0.7136	0.4155	SUB	well	hi
Shawshank	EventBridge	0.7136	0.4155	SUB	are	but
Shawshank	EventBridge	0.7136	0.4155	DEL	you	
Shawshank	EventBridge	0.7136	0.4155	DEL	theres	
Shawshank	EventBridge	0.7136	0.4155	SUB	i	that
Shawshank	EventBridge	0.7136	0.4155	SUB	look	looks
Shawshank	EventBridge	0.7136	0.4155	SUB	back	like
Shawshank	EventBridge	0.7136	0.4155	DEL	on	
Shawshank	EventBridge	0.7136	0.4155	SUB	was	want
Shawshank	EventBridge	0.7136	0.4155	SUB	then	to
Shawshank	EventBridge	0.7136	0.4155	SUB	kid	kids
Shawshank	EventBridge	0.7136	0.4155	SUB	who	have
Shawshank	EventBridge	0.7136	0.4155	INS		to
Shawshank	EventBridge	0.7136	0.4155	SUB	want	wanna
Shawshank	EventBridge	0.7136	0.4155	DEL	to	
Shawshank	EventBridge	0.7136	0.4155	DEL	talk	
Shawshank	EventBridge	0.7136	0.4155	DEL	to	
Shawshank	EventBridge	0.7136	0.4155	DEL	him	
Shawshank	EventBridge	0.7136	0.4155	DEL	i	
Shawshank	EventBridge	0.7136	0.4155	DEL	want	
Shawshank	EventBridge	0.7136	0.4155	DEL	to	
Shawshank	EventBridge	0.7136	0.4155	SUB	talk	cost
Shawshank	EventBridge	0.7136	0.4155	SUB	some	this
Shawshank	EventBridge	0.7136	0.4155	SUB	sense	last
Shawshank	EventBridge	0.7136	0.4155	SUB	to	doing
Shawshank	EventBridge	0.7136	0.4155	SUB	him	it
Shawshank	EventBridge	0.7136	0.4155	SUB	tell	turn
Shawshank	EventBridge	0.7136	0.4155	DEL	him	
Shawshank	EventBridge	0.7136	0.4155	SUB	but	okay
Shawshank	EventBridge	0.7136	0.4155	SUB	i	as
Shawshank	EventBridge	0.7136	0.4155	DEL	cant	
Shawshank	EventBridge	0.7136	0.4155	DEL	that	
Shawshank	EventBridge	0.7136	0.4155	DEL	and	
Shawshank	EventBridge	0.7136	0.4155	SUB	thats	this
Shawshank	EventBridge	0.7136	0.4155	SUB	i	okay
Shawshank	EventBridge	0.7136	0.4155	SUB	got	yeah
Shawshank	EventBridge	0.7136	0.4155	SUB	to	ive
Shawshank	EventBridge	0.7136	0.4155	SUB	live	done
Shawshank	EventBridge	0.7136	0.4155	SUB	with	a
Shawshank	EventBridge	0.7136	0.4155	SUB	that	paper
Shawshank	EventBridge	0.7136	0.4155	DEL	rehabilitated	
Shawshank	EventBridge	0.7136	0.4155	DEL	its	
Shawshank	EventBridge	0.7136	0.4155	SUB	a	the
Shawshank	EventBridge	0.7136	0.4155	SUB	bullshit	bullship
Shawshank	EventBridge	0.7136	0.4155	SUB	form	phone
Shawshank	EventBridge	0.7136	0.4155	SUB	sonny	sunny
Shawshank	EventBridge	0.7136	0.4155	SUB	because	the
Shawshank	EventBridge	0.7136	0.4155	SUB	i	tone
Shawshank	EventBridge	0.7136	0.4155	SUB	tell	of
Shawshank	EventBridge	0.7136	0.4155	DEL	you	
Shawshank	EventBridge	0.7136	0.4155	DEL	the	
Shawshank	EventBridge	0.7136	0.4155	SUB	give	get
Shawshank	EventBridge	0.7136	0.4155	DEL	shit	
Mockingbird	Deepgram	0.923	0.2126	SUB	strong	tom
Mockingbird	Deepgram	0.923	0.2126	SUB	mattered	message
Mockingbird	Deepgram	0.923	0.2126	SUB	broke	took
Mockingbird	Deepgram	0.923	0.2126	SUB	but	and
Mockingbird	Deepgram	0.923	0.2126	SUB	afterwards	asses
Mockingbird	Deepgram	0.923	0.2126	SUB	the	request
Mockingbird	Deepgram	0.923	0.2126	SUB	witnesses	is
Mockingbird	Deepgram	0.923	0.2126	SUB	sheriff	sheriffs
Mockingbird	Deepgram	0.923	0.2126	SUB	of	american
Mockingbird	Deepgram	0.923	0.2126	SUB	maycomb	and
Mockingbird	Deepgram	0.923	0.2126	DEL	county	
Mockingbird	Deepgram	0.923	0.2126	DEL	have	
Mockingbird	Deepgram	0.923	0.2126	SUB	you	the
Mockingbird	Deepgram	0.923	0.2126	SUB	gentlemen	attendant
Mockingbird	Deepgram	0.923	0.2126	SUB	in	and
Mockingbird	Deepgram	0.923	0.2126	INS		brad
Mockingbird	Deepgram	0.923	0.2126	SUB	their	just
Mockingbird	Deepgram	0.923	0.2126	SUB	testimony	normally
Mockingbird	Deepgram	0.923	0.2126	SUB	all	only
Mockingbird	Deepgram	0.923	0.2126	SUB	negroes	driven
Mockingbird	Deepgram	0.923	0.2126	SUB	lie	by
Mockingbird	Deepgram	0.923	0.2126	SUB	all	only
Mockingbird	Deepgram	0.923	0.2126	SUB	negroes	grizzled
Mockingbird	Deepgram	0.923	0.2126	DEL	are	
Mockingbird	Deepgram	0.923	0.2126	INS		not
Mockingbird	Deepgram	0.923	0.2126	SUB	that	of
Mockingbird	Deepgram	0.923	0.2126	SUB	minds	mines
Mockingbird	Deepgram	0.923	0.2126	SUB	of	but
Mockingbird	Deepgram	0.923	0.2126	SUB	their	they
Mockingbird	Deepgram	0.923	0.2126	SUB	caliber	are
Mockingbird	Deepgram	0.923	0.2126	SUB	and	im
Mockingbird	Deepgram	0.923	0.2126	DEL	a	
Mockingbird	Deepgram	0.923	0.2126	SUB	negro	nature
Mockingbird	Deepgram	0.923	0.2126	SUB	temerity	terminology
Mockingbird	Deepgram	0.923	0.2126	SUB	in	and
Mockingbird	Deepgram	0.923	0.2126	SUB	men	believes
Mockingbird	Deepgram	0.923	0.2126	SUB	are	it
Mockingbird	Deepgram	0.923	0.2126	SUB	created	then
Mockingbird	Deepgram	0.923	0.2126	INS		i
Mockingbird	Deepgram	0.923	0.2126	SUB	im	have
Mockingbird	Deepgram	0.923	0.2126	INS		idea
Mockingbird	Deepgram	0.923	0.2126	SUB	idealist	this
Mockingbird	Deepgram	0.923	0.2126	DEL	of	
Mockingbird	Deepgram	0.923	0.2126	SUB	ideal	idea
Mockingbird	Notifications	0.739	0.4095	SUB	uncle	angra
Mockingbird	Notifications	0.739	0.4095	SUB	man	male
Mockingbird	Notifications	0.739	0.4095	SUB	mattered	matter
Mockingbird	Notifications	0.739	0.4095	SUB	broke	okay
Mockingbird	Notifications	0.739	0.4095	SUB	it	huh
Mockingbird	Notifications	0.739	0.4095	SUB	but	can
Mockingbird	Notifications	0.739	0.4095	SUB	it	crash
Mockingbird	Notifications	0.739	0.4095	SUB	came	them
Mockingbird	Notifications	0.739	0.4095	DEL	crashing	
Mockingbird	Notifications	0.739	0.4095	DEL	her	
Mockingbird	Notifications	0.739	0.4095	DEL	afterwards	
Mockingbird	Notifications	0.739	0.4095	DEL	with	
Mockingbird	Notifications	0.739	0.4095	SUB	of	encounter
Mockingbird	Notifications	0.739	0.4095	SUB	maycomb	and
Mockingbird	Notifications	0.739	0.4095	DEL	county	
Mockingbird	Notifications	0.739	0.4095	DEL	have	
Mockingbird	Notifications	0.739	0.4095	DEL	you	
Mockingbird	Notifications	0.739	0.4095	DEL	gentlemen	
Mockingbird	Notifications	0.739	0.4095	DEL	to	
Mockingbird	Notifications	0.739	0.4095	DEL	in	
Mockingbird	Notifications	0.739	0.4095	SUB	confidence	the
Mockingbird	Notifications	0.739	0.4095	SUB	that	customer
Mockingbird	Notifications	0.739	0.4095	DEL	their	
Mockingbird	Notifications	0.739	0.4095	DEL	testimony	
Mockingbird	Notifications	0.739	0.4095	DEL	confident	
Mockingbird	Notifications	0.739	0.4095	DEL	that	
Mockingbird	Notifications	0.739	0.4095	DEL	would	
Mockingbird	Notifications	0.739	0.4095	SUB	the	only
Mockingbird	Notifications	0.739	0.4095	DEL	evil	
Mockingbird	Notifications	0.739	0.4095	DEL	assumption	
Mockingbird	Notifications	0.739	0.4095	DEL	that	
Mockingbird	Notifications	0.739	0.4095	DEL	all	
Mockingbird	Notifications	0.739	0.4095	DEL	negroes	
Mockingbird	Notifications	0.739	0.4095	DEL	lie	
Mockingbird	Notifications	0.739	0.4095	DEL	all	
Mockingbird	Notifications	0.739	0.4095	DEL	negroes	
Mockingbird	Notifications	0.739	0.4095	DEL	are	
Mockingbird	Notifications	0.739	0.4095	SUB	all	oh
Mockingbird	Notifications	0.739	0.4095	SUB	negro	nibra
Mockingbird	Notifications	0.739	0.4095	SUB	men	bend
